sensor-id,temp [¡C],revC_raw_tmp,revC_raw_rv,tsi_value [m/s]
11,24.7,1.553,1.443,0.8065
11,24.7,1.559,1.443,0.8162
11,24.7,1.557,1.444,0.8138
11,24.7,1.557,1.455,0.8138
11,24.7,1.558,1.45,0.8089
11,24.6,1.557,1.462,0.7869
11,24.6,1.555,1.456,0.7698
11,24.7,1.555,1.454,0.7796
11,24.7,1.555,1.453,0.8309
11,24.7,1.558,1.455,0.8309
11,24.7,1.555,1.456,0.8675
11,24.7,1.555,1.463,0.8675
11,24.7,1.561,1.456,0.8651
11,24.7,1.561,1.459,0.8675
11,24.7,1.561,1.456,0.8504
11,24.7,1.559,1.458,0.8504
11,24.7,1.563,1.454,0.8456
11,24.7,1.559,1.453,0.8407
11,24.7,1.565,1.447,0.8407
11,24.7,1.553,1.453,0.8553
11,24.7,1.557,1.456,0.8578
11,24.7,1.563,1.454,0.8578
11,24.7,1.556,1.451,0.848
11,24.7,1.554,1.449,0.8602
11,24.7,1.551,1.453,0.8602
11,24.7,1.559,1.451,0.8504
11,24.7,1.557,1.456,0.8456
11,24.7,1.555,1.449,0.8456
11,24.7,1.561,1.454,0.8798
11,24.7,1.561,1.456,0.8847
11,24.7,1.562,1.451,0.8895
11,24.7,1.553,1.446,0.8895
11,24.7,1.559,1.453,0.9018
11,24.7,1.552,1.454,0.8969
11,24.7,1.563,1.449,0.8969
11,24.7,1.563,1.453,0.9018
11,24.7,1.558,1.455,0.8944
11,24.7,1.562,1.456,0.8944
11,24.7,1.561,1.454,0.914
11,24.6,1.559,1.457,0.9164
11,24.6,1.563,1.456,0.9164
11,24.7,1.556,1.453,0.9042
11,24.7,1.561,1.456,0.892
11,24.7,1.561,1.45,0.892
11,24.7,1.561,1.456,0.87
11,24.7,1.552,1.468,0.8602
11,24.7,1.561,1.469,0.8602
11,24.7,1.561,1.467,0.8993
11,24.7,1.563,1.478,0.9311
11,24.7,1.555,1.477,0.9409
11,24.7,1.563,1.474,0.9409
11,24.7,1.558,1.482,0.9555
11,24.7,1.562,1.479,0.9555
